Question Number,Question,Answer,Category,Difficulty
406,What is a DOM event?,"A DOM event is an action, such as a click or key press, that a script can detect and respond to.",Front-end,Easy
407,What is state management in front-end frameworks?,"State management handles how data changes are tracked and propagated throughout an application, often using tools like Redux or Context API.",Front-end,Medium
408,What is server-side hydration in the context of front-end frameworks?,"Hydration attaches JavaScript event handlers to server-rendered HTML on the client, making a static page interactive without re-rendering from scratch.",Front-end,Hard
409,What is the difference between controlled and uncontrolled components in React?,"Controlled components have their form state managed by React via state and props, while uncontrolled components manage their own state internally via the DOM.",Front-end,Hard
410,What is a server?,A server is a program or machine that provides resources or services to clients over a network.,Back-end,Easy
411,What is JSON and why is it commonly used in APIs?,"JSON is a lightweight, human-readable data format used to structure and exchange data between client and server.",Back-end,Easy
412,What is the difference between REST and GraphQL?,"REST exposes fixed endpoints returning predefined data structures, while GraphQL allows clients to request exactly the data they need through a single flexible endpoint.",Back-end,Medium
413,What is a webhook?,A webhook is a callback mechanism where a server sends real-time data to another application via an HTTP request when an event occurs.,Back-end,Medium
414,What is the N+1 query problem?,"The N+1 query problem occurs when an application executes one query to fetch a list and then an additional query for each item, causing excessive database calls.",Back-end,Hard
415,What is a front-end framework?,"A front-end framework provides pre-built tools and structure for building user interfaces, such as React, Angular, or Vue.",Full-stack,Easy
416,What is a back-end framework?,"A back-end framework provides tools and structure for building server-side logic, such as Express, Django, or Spring.",Full-stack,Easy
417,What is CORS and why does it matter for full-stack apps?,"CORS controls whether a browser allows requests from a different origin than the one serving the page, important when front-end and back-end are hosted separately.",Full-stack,Medium
418,How would you handle file uploads in a full-stack application?,"Typically the client sends the file via a multipart form request, the server validates and stores it locally or in cloud storage, and returns a reference URL to the client.",Full-stack,Hard
419,What is server-side session management versus token-based authentication?,"Session management stores user state on the server and references it via a session ID, while token-based authentication embeds state in a signed token held by the client.",Full-stack,Hard
420,What is a bubble sort?,"Bubble sort repeatedly swaps adjacent elements that are out of order, gradually moving larger elements toward the end of the list.",Algorithms,Easy
421,What is the two-pointer technique?,The two-pointer technique uses two indices moving through a data structure to solve problems like finding pairs or reversing arrays efficiently.,Algorithms,Easy
422,What is the sliding window technique?,"The sliding window technique maintains a subset of data over a range that slides across the input, used to solve subarray or substring problems efficiently.",Algorithms,Medium
423,What is topological sorting used for?,"Topological sorting orders the nodes of a directed acyclic graph so that every edge points from an earlier to a later node, used in task scheduling.",Algorithms,Hard
424,What is the difference between Dijkstra's algorithm and Bellman-Ford algorithm?,"Dijkstra's algorithm finds shortest paths efficiently but doesn't handle negative weights, while Bellman-Ford handles negative weights and detects negative cycles at the cost of higher time complexity.",Algorithms,Hard
425,What is a feature in machine learning?,A feature is an individual measurable input variable used by a model to make predictions.,Machine Learning,Easy
426,What is a training set versus a test set?,"A training set is used to fit a model's parameters, while a test set evaluates the model's performance on unseen data.",Machine Learning,Easy
427,What is feature scaling and why is it important?,"Feature scaling normalizes the range of input features, preventing variables with larger scales from dominating model training.",Machine Learning,Medium
428,What is a decision tree?,"A decision tree is a model that splits data into branches based on feature values, making decisions through a series of if-else conditions.",Machine Learning,Medium
429,What is the difference between precision and recall?,"Precision measures the proportion of true positives among predicted positives, while recall measures the proportion of true positives among actual positives.",Machine Learning,Hard
430,What is an ensemble method in machine learning?,Ensemble methods combine predictions from multiple models to improve overall accuracy and robustness compared to any single model.,Machine Learning,Hard
431,What is fault tolerance in distributed systems?,Fault tolerance is a system's ability to continue operating correctly even when some of its components fail.,Distributed Systems,Easy
432,What is horizontal partitioning of data across nodes called?,"It's called sharding, where data is split across multiple nodes to distribute load and storage.",Distributed Systems,Easy
433,What is a distributed cache and why is it used?,A distributed cache stores frequently accessed data across multiple nodes to reduce latency and load on primary data stores at scale.,Distributed Systems,Medium
434,What is the purpose of a gossip protocol?,"A gossip protocol spreads information across nodes in a distributed system through periodic, randomized peer-to-peer exchanges, improving fault tolerance and scalability.",Distributed Systems,Medium
435,What is a vector clock and what problem does it solve?,"A vector clock tracks causal relationships between events across distributed nodes, helping determine the order of events without relying on synchronized physical clocks.",Distributed Systems,Hard
436,What is the difference between synchronous replication and asynchronous replication?,"Synchronous replication confirms writes on all replicas before acknowledging success, ensuring consistency at the cost of latency, while asynchronous replication acknowledges writes before all replicas are updated, improving speed but risking data loss.",Distributed Systems,Hard
437,What is a port number?,"A port number identifies a specific process or service on a device, allowing multiple network connections to be distinguished.",Networking,Easy
438,What is a router?,A router is a networking device that forwards data packets between different networks based on IP addresses.,Networking,Easy
439,What is the difference between HTTP/1.1 and HTTP/2?,"HTTP/2 introduces multiplexing, header compression, and binary framing, allowing multiple requests over a single connection more efficiently than HTTP/1.1.",Networking,Medium
440,What is a load balancer's health check?,"A health check periodically verifies that backend servers are responsive, allowing the load balancer to route traffic only to healthy instances.",Networking,Medium
441,What is latency versus bandwidth?,"Latency is the time delay for data to travel between two points, while bandwidth is the maximum rate of data transfer over a connection.",Networking,Hard
442,What is a CDN edge server?,"An edge server is a CDN node located close to end users geographically, caching content to reduce latency for requests.",Networking,Hard
443,What is the ICMP protocol used for?,"ICMP is used for network diagnostics and error reporting, such as in the ping and traceroute utilities.",Networking,Medium
444,What is an operating system?,"An operating system manages hardware resources and provides services for computer programs, acting as an intermediary between applications and hardware.",Low-level Systems,Easy
445,What is a kernel?,A kernel is the core component of an operating system that manages system resources and communication between hardware and software.,Low-level Systems,Easy
446,What is thread starvation?,"Thread starvation occurs when a thread is perpetually denied access to resources it needs, often due to scheduling priorities favoring other threads.",Low-level Systems,Medium
447,What is the difference between a binary semaphore and a mutex?,"A binary semaphore can be signaled by any thread and used for signaling between threads, while a mutex is owned and released only by the thread that locked it, used for mutual exclusion.",Low-level Systems,Medium
448,What is memory fragmentation?,"Memory fragmentation occurs when free memory is split into small, non-contiguous blocks, making it difficult to allocate large contiguous chunks even when total free memory is sufficient.",Low-level Systems,Hard
449,What is a thread pool and why is it used?,"A thread pool maintains a set of reusable worker threads to execute tasks, avoiding the overhead of creating and destroying threads repeatedly.",Low-level Systems,Hard
450,What is the difference between preemptive and cooperative multitasking?,"Preemptive multitasking lets the OS interrupt a running process to switch to another, while cooperative multitasking relies on processes voluntarily yielding control.",Low-level Systems,Medium
451,What is a database schema?,"A database schema defines the structure of a database, including tables, columns, and relationships.",Database Systems,Easy
452,What is a database backup?,"A database backup is a copy of data taken at a point in time, used to restore data in case of loss or corruption.",Database Systems,Easy
453,What is a clustered index?,"A clustered index determines the physical order of data in a table, with only one allowed per table since data can be sorted only one way.",Database Systems,Medium
454,What is database sharding key selection and why does it matter?,The shard key determines how data is distributed across shards; a poorly chosen key can cause uneven load or hot spots.,Database Systems,Medium
455,What is multi-version concurrency control (MVCC)?,"MVCC allows multiple transactions to access data concurrently by maintaining multiple versions of records, avoiding read locks and improving performance.",Database Systems,Hard
456,What is the difference between a covering index and a regular index?,"A covering index includes all the columns needed to satisfy a query without accessing the table itself, improving performance over a regular index that may require an additional lookup.",Database Systems,Hard
457,What is database connection timeout and why is it configured?,"A connection timeout defines how long a client waits for a database connection before failing, preventing indefinite blocking on unresponsive databases.",Database Systems,Medium
458,What is a data source in a data pipeline?,"A data source is the origin from which raw data is collected, such as a database, API, file, or event stream.",Data Engineering,Easy
459,What is data ingestion?,Data ingestion is the process of collecting and importing data from various sources into a storage or processing system.,Data Engineering,Easy
460,"What is the difference between structured, semi-structured, and unstructured data?","Structured data fits a fixed schema like tables, semi-structured data has some organizational markers like JSON or XML, and unstructured data has no predefined format, like text or images.",Data Engineering,Medium
461,What is data deduplication?,Data deduplication identifies and removes duplicate records or entries to ensure data accuracy and reduce storage costs.,Data Engineering,Medium
462,What is a star schema in data warehousing?,"A star schema organizes data into a central fact table connected to surrounding dimension tables, optimizing it for analytical queries.",Data Engineering,Hard
463,What is data lineage and why is it important?,"Data lineage tracks the origin, movement, and transformation of data through a pipeline, aiding in debugging, compliance, and trust in data quality.",Data Engineering,Hard
464,What is idempotency in the context of data pipelines?,"An idempotent pipeline produces the same result even if a step is run multiple times, which is important for safe retries after failures.",Data Engineering,Medium
465,What is the difference between a fact table and a dimension table?,"A fact table stores quantitative, measurable data such as sales amounts, while a dimension table stores descriptive attributes like product or customer details used to filter and group facts.",Data Engineering,Hard
466,What is a training dataset in AI?,A training dataset is the collection of labeled or unlabeled examples used to teach a model to recognize patterns.,Artificial Intelligence,Easy
467,What is a chatbot?,"A chatbot is an AI-powered application designed to simulate conversation with users, often using NLP techniques.",Artificial Intelligence,Easy
468,What is computer vision?,Computer vision is a field of AI that enables machines to interpret and understand visual information from images or video.,Artificial Intelligence,Medium
469,What is a convolutional neural network (CNN) used for?,"CNNs are specialized neural networks designed to process grid-like data such as images, using convolutional layers to detect spatial patterns.",Artificial Intelligence,Medium
470,What is a recurrent neural network (RNN) and what is it used for?,"An RNN processes sequential data by maintaining a hidden state that carries information across time steps, useful for tasks like language modeling and time-series prediction.",Artificial Intelligence,Hard
471,What is the transformer architecture in AI?,"The transformer architecture uses self-attention mechanisms to process input sequences in parallel, capturing long-range dependencies more effectively than RNNs, and underlies most modern large language models.",Artificial Intelligence,Hard
472,What is overfitting versus underfitting in the context of AI models?,"Overfitting occurs when a model learns training data too closely and fails to generalize, while underfitting occurs when a model is too simple to capture underlying patterns.",Artificial Intelligence,Medium
473,"What is explainability in AI, and why does it matter?","Explainability refers to how understandable a model's decisions are to humans, important for trust, debugging, and compliance in sensitive applications.",Artificial Intelligence,Hard
474,What is the difference between functional testing and non-functional testing?,"Functional testing verifies that software behaves according to specified requirements, while non-functional testing evaluates aspects like performance, usability, and reliability.",Software Testing,Hard
475,What is single sign-on (SSO)?,SSO allows a user to authenticate once and gain access to multiple independent systems without logging in separately to each.,Security,Medium
476,"What is configuration drift in DevOps, and how is it prevented?",Configuration drift occurs when server configurations gradually diverge from their intended state over time; it's prevented using infrastructure as code and automated configuration management.,DevOps,Hard
